DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub,medsiglik,medtaulik,maxlik,taumaxlik,sigmaxlik
2407947,1105.16707008,455.940358966,2021.84649541,0.0121463989151,0.0102478322698,0.0145227713847,129.869669729,129.975457821,131.274704482,432.277961722,0.0115994594682
2408231,1016.96983829,456.500650594,1953.65396548,0.0152254639648,0.012802832023,0.0182310327433,95.5896174973,94.3294557824,96.1551027312,381.920445833,0.0155441252044
2408900,1354.17183841,608.405966039,2345.92122116,0.00575491198642,0.00498469038531,0.00676670837214,186.753408334,185.782920462,187.403996337,725.23734796,0.0057534039383
2409973,406.506088833,114.197899704,1429.72012371,0.00609065790691,0.0045928791621,0.00844489972135,146.780043169,148.410419946,150.776350993,199.921426265,0.00578996754883
2410726,1587.03993828,834.516095334,2428.83740549,0.0113091519231,0.00982350495097,0.0129680142798,160.075603702,160.127455492,160.372003616,733.998248831,0.0111802492069
2412940,1131.33483294,516.021605579,2022.73075222,0.00565261265937,0.00467146917134,0.00697814653949,143.044250472,142.219137062,143.705856294,476.243710024,0.00550077809079
2414145,355.337301898,136.351693363,1226.19539342,0.00820022675677,0.00702809979513,0.0098135741572,152.116618886,153.509947486,155.394228784,187.631245209,0.0085023786638
2415357,1121.91839249,543.033686272,1833.16790366,0.00902720589989,0.00766948372261,0.0108208143667,216.852764356,215.729733104,217.704140315,572.264874438,0.00887464323877
2416448,1042.58540728,471.094816386,1991.29293845,0.0127081360251,0.0105216227282,0.0155411350661,113.177375235,113.961817514,115.858649729,477.270944085,0.0117971072221
2416896,1592.21031717,833.5735235,2525.87787928,0.00692456937493,0.0060489490175,0.00794522215323,188.490443088,188.266005665,190.321303294,1001.61491842,0.00706624392006
2417930,880.675343046,297.159946391,1912.02713925,0.0129283795694,0.00916250707344,0.0191712684753,53.3365885776,51.6226868212,54.439638871,384.654914549,0.0124834161006
2418936,614.063653442,243.290277925,1767.79166246,0.0165590096696,0.0145344879345,0.019215269653,138.624958464,139.657880615,141.75574292,263.611078889,0.0161348207294
2421873,960.113676521,347.963500047,1945.19322289,0.00682466581183,0.00486481433394,0.00961491102665,91.451695403,89.8856097552,92.1282501467,316.961691335,0.00750858707459
2422085,697.077193074,259.607187239,1913.92265023,0.0091721856225,0.00727564023931,0.0115744170339,138.438023738,138.382578132,141.009226938,202.213709245,0.010348428522
2427694,3402.35856627,3402.35856627,3402.35856627,0.015095395442,0.015095395442,0.015095395442,-inf,-inf,-inf,3402.35856627,0.015095395442
