DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
59177,0.0,0.0,0.0,0.0,0.0,0.0
59644,0.0,0.0,0.0,0.0,0.0,0.0
59850,0.0,0.0,0.0,0.0,0.0,0.0
61001,0.0,0.0,0.0,0.0,0.0,0.0
61062,0.0,0.0,0.0,0.0,0.0,0.0
62620,0.0,0.0,0.0,0.0,0.0,0.0
62907,0.0,0.0,0.0,0.0,0.0,0.0
63007,0.0,0.0,0.0,0.0,0.0,0.0
63081,0.0,0.0,0.0,0.0,0.0,0.0
63307,0.0,0.0,0.0,0.0,0.0,0.0
63404,0.0,0.0,0.0,0.0,0.0,0.0
63511,0.0,0.0,0.0,0.0,0.0,0.0
63621,0.0,0.0,0.0,0.0,0.0,0.0
64133,0.0,0.0,0.0,0.0,0.0,0.0
64539,0.0,0.0,0.0,0.0,0.0,0.0
65639,0.0,0.0,0.0,0.0,0.0,0.0
65793,0.0,0.0,0.0,0.0,0.0,0.0
65869,0.0,0.0,0.0,0.0,0.0,0.0
66246,0.0,0.0,0.0,0.0,0.0,0.0
66260,0.0,0.0,0.0,0.0,0.0,0.0
66311,0.0,0.0,0.0,0.0,0.0,0.0
66533,0.0,0.0,0.0,0.0,0.0,0.0
66552,0.0,0.0,0.0,0.0,0.0,0.0
66572,0.0,0.0,0.0,0.0,0.0,0.0
67239,0.0,0.0,0.0,0.0,0.0,0.0
67243,0.0,0.0,0.0,0.0,0.0,0.0
68390,0.0,0.0,0.0,0.0,0.0,0.0
68411,623.236793562,226.242430824,1944.54971223,0.0917775222649,0.0819703815961,0.103861461424
68557,0.0,0.0,0.0,0.0,0.0,0.0
68572,0.0,0.0,0.0,0.0,0.0,0.0
68664,0.0,0.0,0.0,0.0,0.0,0.0
68983,0.0,0.0,0.0,0.0,0.0,0.0
69026,0.0,0.0,0.0,0.0,0.0,0.0
69061,0.0,0.0,0.0,0.0,0.0,0.0
69091,0.0,0.0,0.0,0.0,0.0,0.0
69726,0.0,0.0,0.0,0.0,0.0,0.0
69758,0.0,0.0,0.0,0.0,0.0,0.0
69766,0.0,0.0,0.0,0.0,0.0,0.0
69839,0.0,0.0,0.0,0.0,0.0,0.0
70553,0.0,0.0,0.0,0.0,0.0,0.0
70861,0.0,0.0,0.0,0.0,0.0,0.0
71013,0.0,0.0,0.0,0.0,0.0,0.0
71115,0.0,0.0,0.0,0.0,0.0,0.0
71209,0.0,0.0,0.0,0.0,0.0,0.0
71214,0.0,0.0,0.0,0.0,0.0,0.0
71555,0.0,0.0,0.0,0.0,0.0,0.0
72173,0.0,0.0,0.0,0.0,0.0,0.0
72303,0.0,0.0,0.0,0.0,0.0,0.0
72452,0.0,0.0,0.0,0.0,0.0,0.0
72465,0.0,0.0,0.0,0.0,0.0,0.0
72837,0.0,0.0,0.0,0.0,0.0,0.0
72931,0.0,0.0,0.0,0.0,0.0,0.0
72937,0.0,0.0,0.0,0.0,0.0,0.0
73403,0.0,0.0,0.0,0.0,0.0,0.0
73692,0.0,0.0,0.0,0.0,0.0,0.0
74173,0.0,0.0,0.0,0.0,0.0,0.0
74302,0.0,0.0,0.0,0.0,0.0,0.0
74740,0.0,0.0,0.0,0.0,0.0,0.0
75080,0.0,0.0,0.0,0.0,0.0,0.0
75911,0.0,0.0,0.0,0.0,0.0,0.0
75987,0.0,0.0,0.0,0.0,0.0,0.0
76303,0.0,0.0,0.0,0.0,0.0,0.0
76601,0.0,0.0,0.0,0.0,0.0,0.0
77219,0.0,0.0,0.0,0.0,0.0,0.0
77441,0.0,0.0,0.0,0.0,0.0,0.0
77601,0.0,0.0,0.0,0.0,0.0,0.0
