DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
1996089,1177.29976609,460.724858585,2416.41244444,0.0121053669641,0.0100867173595,0.0148837729985
1996278,850.375624145,315.619662718,2236.10879893,0.0107106253882,0.00865788927411,0.0132815262558
1996657,927.440167875,373.373279912,2237.27740175,0.00585683241957,0.00476243047938,0.00736788633633
1997096,2570.21689391,1791.52914602,3095.33071572,0.00275122025215,0.00231537791258,0.00328187632811
1997740,794.35064041,319.586276559,2130.21333392,0.0175429916278,0.0150852455083,0.0203924434635
1997956,206.455818502,98.542857639,828.057635103,0.0130277585028,0.0107177706937,0.0158188213056
1998108,1623.57375734,789.523559165,2703.67298824,0.0148776568127,0.0125830727399,0.017726621819
1998276,1166.52847512,472.855582638,2437.60683421,0.00530620287773,0.0044306723725,0.00650089657799
1998295,1185.26161829,508.424344096,2422.51361626,0.0157047745132,0.0135283588553,0.0184333210953
1998484,1242.67955709,598.86831317,2084.09939046,0.00736535370455,0.00607484319014,0.00912484020943
1998945,1606.90078656,771.252935638,2687.40235313,0.00766787336913,0.006440201171,0.00914092686419
1999608,1998.46931308,1129.85904766,2886.34182639,0.00862900974093,0.00718180424089,0.0106288767884
1999857,1210.40684035,550.755888496,2050.4859144,0.0162509424412,0.0136710271847,0.019575419647
2001342,1173.63497581,489.052943161,2449.85031706,0.0151651441343,0.0123818393329,0.0186968968551
2001702,1796.20559401,934.495815606,2795.54446398,0.00760115307046,0.00653508270769,0.00889084032377
2002021,1274.77325628,560.131200969,2533.35925759,0.0158556559553,0.0136061871303,0.0186035032624
2002628,984.286757487,382.059600026,2307.28278354,0.0114417282995,0.00957896611115,0.013530376782
2003091,233.622491181,114.578403498,1027.55374949,0.0109429842948,0.00907249324417,0.0130934056682
2003201,1068.85411703,391.519132541,2442.01132764,0.00910559461058,0.00758464159555,0.0110322224463
2003594,694.893384246,211.837732414,2085.9701531,0.0250222987411,0.0187999091999,0.0354949567629
2003816,1852.34764026,938.471953229,2865.960011,0.0122012638161,0.0105631344154,0.0141751569542
2003850,530.747881982,205.712735421,1812.23702003,0.0112583414572,0.00938405433631,0.0135766401818
2004406,1803.88368874,870.059331323,2800.38217908,0.00940461621199,0.00799686295602,0.0112108713974
2004568,427.347876006,168.929729499,832.092425571,0.0137428359377,0.00990353455336,0.0194937397905
2004812,800.294733503,313.027430179,2289.78900935,0.00830596379675,0.00702415020067,0.00975608082262
2005043,1721.15182032,903.597294278,2746.10839892,0.00906006197292,0.00776641296239,0.0105845045446
2005143,1953.98244134,1094.41675544,2845.55374526,0.00486337678371,0.00404912736576,0.00589214141258
2005300,1982.64290231,1107.49961437,2829.64849297,0.00857077492232,0.00729112302208,0.0101748661703
2005896,228.623752799,106.657578493,762.448048728,0.0101765557446,0.00858231154849,0.0120136107458
2005948,1872.50141401,967.611321976,2842.06369863,0.0065761126878,0.00523865295577,0.00818955836058
2005963,14691.1902173,14691.1902173,14691.1902173,0.00217134511718,0.00217134511718,0.00217134511718
2006042,1219.589248,478.885364005,2474.63983099,0.0141098312165,0.0118721672181,0.0167898492248
2006276,1655.86423434,843.513302125,2737.0938638,0.00849401890474,0.00726047217428,0.00998469834954
2006306,709.82506338,258.521675132,1717.71936616,0.00501052066472,0.00375338841215,0.00698239252575
2006717,1971.52586003,1067.26792563,2878.41318167,0.0115171484129,0.0101806750805,0.0131780208057
2006852,183.831666918,85.9046996237,804.236844028,0.00760082624465,0.00596247007355,0.0099331342236
2006932,2129.42094377,1285.66981111,2950.41437329,0.00585247739895,0.00504067160515,0.00694048116356
2006978,23.4312037879,13.0352712873,49.7411474663,0.0711553806895,0.0558261618575,0.0888406226896
2007551,14.0504255981,8.27015092278,25.6062868006,0.0458429156971,0.0375068508451,0.0564860531446
2008240,2192.15600121,1309.59655826,2988.66664053,0.00728413806945,0.0062109840804,0.00861800774987
2008338,648.333863406,255.117759127,1989.00690054,0.0133916397461,0.0116822565615,0.0156444155831
2008439,837.239365258,307.211356598,2154.29115339,0.0116078723025,0.00977298101456,0.0138462349869
2008510,696.894457385,297.147648671,1950.92323173,0.0111578132299,0.00967519910019,0.0129053360926
2009001,1382.3339558,580.550969451,2637.37645599,0.00508291405694,0.0041149855292,0.00630022271363
2009606,654.674256297,186.038713857,1956.51854165,0.00516640763049,0.003494402274,0.00779167660945
2009663,1624.07876216,813.8105317,2665.3833142,0.00753075272837,0.00623840093897,0.00912170532589
2009715,2116.24654493,1202.51988137,2965.5490062,0.00945541660147,0.00800132453361,0.011307768161
2010027,255.270340404,106.178807948,1014.93504181,0.0142912522718,0.0124071482085,0.016614922062
2010991,982.173742303,415.340940817,2363.96410766,0.0161199943428,0.0139818257596,0.018714003008
2011087,405.400679232,162.690851679,1496.72230254,0.0128118795729,0.0100897924048,0.016627875549
2011475,1062.63665134,344.425984083,2450.96333324,0.0112592229041,0.00897805382261,0.0143330408327
2011765,1330.01975942,635.390345121,2517.65987157,0.00439634090639,0.00369584604407,0.00527158876685
2011971,2045.08203224,1226.86043153,2907.35946461,0.0110822877308,0.00938558354028,0.0132931147468
2012300,968.875440733,359.876745783,2321.90503733,0.0180152824264,0.0152335187225,0.0210774466761
2012381,1857.46106522,950.473278502,2811.92615461,0.0138034108618,0.0118434425347,0.0159418166617
2012415,487.07671145,163.623573226,1697.38953297,0.0133753760694,0.0103452817277,0.0181104886011
2012460,973.890757172,342.013937139,2305.50351136,0.00568524514084,0.00451068241296,0.00722040946365
2013394,1845.86069957,1007.96876797,2836.77034012,0.00401728210928,0.00330178527799,0.00488773413533
2014051,1675.32397541,829.575071816,2755.23010146,0.0123655547206,0.0109416859344,0.0140221914785
2014175,39.8776870959,23.7633391539,77.464239123,0.0460731408988,0.0375664545794,0.0546892307758
2014399,277.623840995,108.806625345,1126.90409266,0.0111401736905,0.00900794749659,0.0142011762217
